gt_team,opponent,type,gt_lb_name,gt_lb_position,gt_lb_run_defense,gt_lb_pass_defense,opp_te_pass_grade,opp_te_run_grade,opp_te_name,opp_te_targets,delta_run,delta_pass
GA TECH,BOSTON COL,vs_offense_avg,Kyle Efford,LB,68.0,64.5,63.2,63.2,,,4.8,1.3
GA TECH,BOSTON COL,vs_te_rank_1,Kyle Efford,LB,68.0,64.5,60.3,60.3,Jeremiah Franklin,41.0,7.7,4.2
GA TECH,BOSTON COL,vs_te_rank_2,Kyle Efford,LB,68.0,64.5,71.5,71.5,Kaelan Chudzinski,19.0,-3.5,-7.0
GA TECH,BOSTON COL,vs_te_rank_3,Kyle Efford,LB,68.0,64.5,48.9,48.9,Zeke Moore,3.0,19.1,15.6
GA TECH,BOSTON COL,vs_te_rank_4,Kyle Efford,LB,68.0,64.5,65.3,65.3,Ty Lockwood,2.0,2.7,-0.8
GA TECH,BOSTON COL,vs_offense_avg,Melvin Jordan IV,LB,78.1,71.7,63.2,63.2,,,14.9,8.5
GA TECH,BOSTON COL,vs_te_rank_1,Melvin Jordan IV,LB,78.1,71.7,60.3,60.3,Jeremiah Franklin,41.0,17.8,11.4
GA TECH,BOSTON COL,vs_te_rank_2,Melvin Jordan IV,LB,78.1,71.7,71.5,71.5,Kaelan Chudzinski,19.0,6.6,0.2
GA TECH,BOSTON COL,vs_te_rank_3,Melvin Jordan IV,LB,78.1,71.7,48.9,48.9,Zeke Moore,3.0,29.2,22.8
GA TECH,BOSTON COL,vs_te_rank_4,Melvin Jordan IV,LB,78.1,71.7,65.3,65.3,Ty Lockwood,2.0,12.8,6.4
GA TECH,BOSTON COL,vs_offense_avg,E.J. Lightsey,LB,71.8,61.1,63.2,63.2,,,8.6,-2.1
GA TECH,BOSTON COL,vs_te_rank_1,E.J. Lightsey,LB,71.8,61.1,60.3,60.3,Jeremiah Franklin,41.0,11.5,0.8
GA TECH,BOSTON COL,vs_te_rank_2,E.J. Lightsey,LB,71.8,61.1,71.5,71.5,Kaelan Chudzinski,19.0,0.3,-10.4
GA TECH,BOSTON COL,vs_te_rank_3,E.J. Lightsey,LB,71.8,61.1,48.9,48.9,Zeke Moore,3.0,22.9,12.2
GA TECH,BOSTON COL,vs_te_rank_4,E.J. Lightsey,LB,71.8,61.1,65.3,65.3,Ty Lockwood,2.0,6.5,-4.2
GA TECH,BOSTON COL,vs_offense_avg,Cayman Spaulding,LB,76.3,51.8,63.2,63.2,,,13.1,-11.4
GA TECH,BOSTON COL,vs_te_rank_1,Cayman Spaulding,LB,76.3,51.8,60.3,60.3,Jeremiah Franklin,41.0,16.0,-8.5
GA TECH,BOSTON COL,vs_te_rank_2,Cayman Spaulding,LB,76.3,51.8,71.5,71.5,Kaelan Chudzinski,19.0,4.8,-19.7
GA TECH,BOSTON COL,vs_te_rank_3,Cayman Spaulding,LB,76.3,51.8,48.9,48.9,Zeke Moore,3.0,27.4,2.9
GA TECH,BOSTON COL,vs_te_rank_4,Cayman Spaulding,LB,76.3,51.8,65.3,65.3,Ty Lockwood,2.0,11.0,-13.5
GA TECH,BOSTON COL,vs_offense_avg,Tah'j Butler,LB,60.1,78.7,63.2,63.2,,,-3.1,15.5
GA TECH,BOSTON COL,vs_te_rank_1,Tah'j Butler,LB,60.1,78.7,60.3,60.3,Jeremiah Franklin,41.0,-0.2,18.4
GA TECH,BOSTON COL,vs_te_rank_2,Tah'j Butler,LB,60.1,78.7,71.5,71.5,Kaelan Chudzinski,19.0,-11.4,7.2
GA TECH,BOSTON COL,vs_te_rank_3,Tah'j Butler,LB,60.1,78.7,48.9,48.9,Zeke Moore,3.0,11.2,29.8
GA TECH,BOSTON COL,vs_te_rank_4,Tah'j Butler,LB,60.1,78.7,65.3,65.3,Ty Lockwood,2.0,-5.2,13.4
GA TECH,NC STATE,vs_offense_avg,Kyle Efford,LB,68.0,64.5,74.13,74.13,,,-6.13,-9.63
GA TECH,NC STATE,vs_te_rank_1,Kyle Efford,LB,68.0,64.5,74.5,74.5,Justin Joly,44.0,-6.5,-10.0
GA TECH,NC STATE,vs_te_rank_2,Kyle Efford,LB,68.0,64.5,66.1,66.1,Cody Hardy,2.0,1.9,-1.6
GA TECH,NC STATE,vs_offense_avg,Melvin Jordan IV,LB,78.1,71.7,74.13,74.13,,,3.97,-2.43
GA TECH,NC STATE,vs_te_rank_1,Melvin Jordan IV,LB,78.1,71.7,74.5,74.5,Justin Joly,44.0,3.6,-2.8
GA TECH,NC STATE,vs_te_rank_2,Melvin Jordan IV,LB,78.1,71.7,66.1,66.1,Cody Hardy,2.0,12.0,5.6
GA TECH,NC STATE,vs_offense_avg,E.J. Lightsey,LB,71.8,61.1,74.13,74.13,,,-2.33,-13.03
GA TECH,NC STATE,vs_te_rank_1,E.J. Lightsey,LB,71.8,61.1,74.5,74.5,Justin Joly,44.0,-2.7,-13.4
GA TECH,NC STATE,vs_te_rank_2,E.J. Lightsey,LB,71.8,61.1,66.1,66.1,Cody Hardy,2.0,5.7,-5.0
GA TECH,NC STATE,vs_offense_avg,Cayman Spaulding,LB,76.3,51.8,74.13,74.13,,,2.17,-22.33
GA TECH,NC STATE,vs_te_rank_1,Cayman Spaulding,LB,76.3,51.8,74.5,74.5,Justin Joly,44.0,1.8,-22.7
GA TECH,NC STATE,vs_te_rank_2,Cayman Spaulding,LB,76.3,51.8,66.1,66.1,Cody Hardy,2.0,10.2,-14.3
GA TECH,NC STATE,vs_offense_avg,Tah'j Butler,LB,60.1,78.7,74.13,74.13,,,-14.03,4.57
GA TECH,NC STATE,vs_te_rank_1,Tah'j Butler,LB,60.1,78.7,74.5,74.5,Justin Joly,44.0,-14.4,4.2
GA TECH,NC STATE,vs_te_rank_2,Tah'j Butler,LB,60.1,78.7,66.1,66.1,Cody Hardy,2.0,-6.0,12.6
GA TECH,GEORGIA,vs_offense_avg,Kyle Efford,LB,68.0,64.5,65.63,65.63,,,2.37,-1.13
GA TECH,GEORGIA,vs_te_rank_1,Kyle Efford,LB,68.0,64.5,61.2,61.2,Lawson Luckie,17.0,6.8,3.3
GA TECH,GEORGIA,vs_te_rank_2,Kyle Efford,LB,68.0,64.5,63.6,63.6,Oscar Delp,13.0,4.4,0.9
GA TECH,GEORGIA,vs_te_rank_3,Kyle Efford,LB,68.0,64.5,86.0,86.0,Elyiss Williams,5.0,-18.0,-21.5
GA TECH,GEORGIA,vs_offense_avg,Melvin Jordan IV,LB,78.1,71.7,65.63,65.63,,,12.47,6.07
GA TECH,GEORGIA,vs_te_rank_1,Melvin Jordan IV,LB,78.1,71.7,61.2,61.2,Lawson Luckie,17.0,16.9,10.5
GA TECH,GEORGIA,vs_te_rank_2,Melvin Jordan IV,LB,78.1,71.7,63.6,63.6,Oscar Delp,13.0,14.5,8.1
GA TECH,GEORGIA,vs_te_rank_3,Melvin Jordan IV,LB,78.1,71.7,86.0,86.0,Elyiss Williams,5.0,-7.9,-14.3
GA TECH,GEORGIA,vs_offense_avg,E.J. Lightsey,LB,71.8,61.1,65.63,65.63,,,6.17,-4.53
GA TECH,GEORGIA,vs_te_rank_1,E.J. Lightsey,LB,71.8,61.1,61.2,61.2,Lawson Luckie,17.0,10.6,-0.1
GA TECH,GEORGIA,vs_te_rank_2,E.J. Lightsey,LB,71.8,61.1,63.6,63.6,Oscar Delp,13.0,8.2,-2.5
GA TECH,GEORGIA,vs_te_rank_3,E.J. Lightsey,LB,71.8,61.1,86.0,86.0,Elyiss Williams,5.0,-14.2,-24.9
GA TECH,GEORGIA,vs_offense_avg,Cayman Spaulding,LB,76.3,51.8,65.63,65.63,,,10.67,-13.83
GA TECH,GEORGIA,vs_te_rank_1,Cayman Spaulding,LB,76.3,51.8,61.2,61.2,Lawson Luckie,17.0,15.1,-9.4
GA TECH,GEORGIA,vs_te_rank_2,Cayman Spaulding,LB,76.3,51.8,63.6,63.6,Oscar Delp,13.0,12.7,-11.8
GA TECH,GEORGIA,vs_te_rank_3,Cayman Spaulding,LB,76.3,51.8,86.0,86.0,Elyiss Williams,5.0,-9.7,-34.2
GA TECH,GEORGIA,vs_offense_avg,Tah'j Butler,LB,60.1,78.7,65.63,65.63,,,-5.53,13.07
GA TECH,GEORGIA,vs_te_rank_1,Tah'j Butler,LB,60.1,78.7,61.2,61.2,Lawson Luckie,17.0,-1.1,17.5
GA TECH,GEORGIA,vs_te_rank_2,Tah'j Butler,LB,60.1,78.7,63.6,63.6,Oscar Delp,13.0,-3.5,15.1
GA TECH,GEORGIA,vs_te_rank_3,Tah'j Butler,LB,60.1,78.7,86.0,86.0,Elyiss Williams,5.0,-25.9,-7.3
GA TECH,PITTSBURGH,vs_offense_avg,Kyle Efford,LB,68.0,64.5,65.39,65.39,,,2.61,-0.89
GA TECH,PITTSBURGH,vs_te_rank_1,Kyle Efford,LB,68.0,64.5,59.8,59.8,Justin Holmes,14.0,8.2,4.7
GA TECH,PITTSBURGH,vs_te_rank_2,Kyle Efford,LB,68.0,64.5,66.6,66.6,Malachi Thomas,11.0,1.4,-2.1
GA TECH,PITTSBURGH,vs_te_rank_3,Kyle Efford,LB,68.0,64.5,59.7,59.7,Jake Overman,6.0,8.3,4.8
GA TECH,PITTSBURGH,vs_te_rank_4,Kyle Efford,LB,68.0,64.5,75.7,75.7,Josh Altsman,5.0,-7.7,-11.2
GA TECH,PITTSBURGH,vs_te_rank_5,Kyle Efford,LB,68.0,64.5,89.1,89.1,Max Hunt,2.0,-21.1,-24.6
GA TECH,PITTSBURGH,vs_offense_avg,Melvin Jordan IV,LB,78.1,71.7,65.39,65.39,,,12.71,6.31
GA TECH,PITTSBURGH,vs_te_rank_1,Melvin Jordan IV,LB,78.1,71.7,59.8,59.8,Justin Holmes,14.0,18.3,11.9
GA TECH,PITTSBURGH,vs_te_rank_2,Melvin Jordan IV,LB,78.1,71.7,66.6,66.6,Malachi Thomas,11.0,11.5,5.1
GA TECH,PITTSBURGH,vs_te_rank_3,Melvin Jordan IV,LB,78.1,71.7,59.7,59.7,Jake Overman,6.0,18.4,12.0
GA TECH,PITTSBURGH,vs_te_rank_4,Melvin Jordan IV,LB,78.1,71.7,75.7,75.7,Josh Altsman,5.0,2.4,-4.0
GA TECH,PITTSBURGH,vs_te_rank_5,Melvin Jordan IV,LB,78.1,71.7,89.1,89.1,Max Hunt,2.0,-11.0,-17.4
GA TECH,PITTSBURGH,vs_offense_avg,E.J. Lightsey,LB,71.8,61.1,65.39,65.39,,,6.41,-4.29
GA TECH,PITTSBURGH,vs_te_rank_1,E.J. Lightsey,LB,71.8,61.1,59.8,59.8,Justin Holmes,14.0,12.0,1.3
GA TECH,PITTSBURGH,vs_te_rank_2,E.J. Lightsey,LB,71.8,61.1,66.6,66.6,Malachi Thomas,11.0,5.2,-5.5
GA TECH,PITTSBURGH,vs_te_rank_3,E.J. Lightsey,LB,71.8,61.1,59.7,59.7,Jake Overman,6.0,12.1,1.4
GA TECH,PITTSBURGH,vs_te_rank_4,E.J. Lightsey,LB,71.8,61.1,75.7,75.7,Josh Altsman,5.0,-3.9,-14.6
GA TECH,PITTSBURGH,vs_te_rank_5,E.J. Lightsey,LB,71.8,61.1,89.1,89.1,Max Hunt,2.0,-17.3,-28.0
GA TECH,PITTSBURGH,vs_offense_avg,Cayman Spaulding,LB,76.3,51.8,65.39,65.39,,,10.91,-13.59
GA TECH,PITTSBURGH,vs_te_rank_1,Cayman Spaulding,LB,76.3,51.8,59.8,59.8,Justin Holmes,14.0,16.5,-8.0
GA TECH,PITTSBURGH,vs_te_rank_2,Cayman Spaulding,LB,76.3,51.8,66.6,66.6,Malachi Thomas,11.0,9.7,-14.8
GA TECH,PITTSBURGH,vs_te_rank_3,Cayman Spaulding,LB,76.3,51.8,59.7,59.7,Jake Overman,6.0,16.6,-7.9
GA TECH,PITTSBURGH,vs_te_rank_4,Cayman Spaulding,LB,76.3,51.8,75.7,75.7,Josh Altsman,5.0,0.6,-23.9
GA TECH,PITTSBURGH,vs_te_rank_5,Cayman Spaulding,LB,76.3,51.8,89.1,89.1,Max Hunt,2.0,-12.8,-37.3
GA TECH,PITTSBURGH,vs_offense_avg,Tah'j Butler,LB,60.1,78.7,65.39,65.39,,,-5.29,13.31
GA TECH,PITTSBURGH,vs_te_rank_1,Tah'j Butler,LB,60.1,78.7,59.8,59.8,Justin Holmes,14.0,0.3,18.9
GA TECH,PITTSBURGH,vs_te_rank_2,Tah'j Butler,LB,60.1,78.7,66.6,66.6,Malachi Thomas,11.0,-6.5,12.1
GA TECH,PITTSBURGH,vs_te_rank_3,Tah'j Butler,LB,60.1,78.7,59.7,59.7,Jake Overman,6.0,0.4,19.0
GA TECH,PITTSBURGH,vs_te_rank_4,Tah'j Butler,LB,60.1,78.7,75.7,75.7,Josh Altsman,5.0,-15.6,3.0
GA TECH,PITTSBURGH,vs_te_rank_5,Tah'j Butler,LB,60.1,78.7,89.1,89.1,Max Hunt,2.0,-29.0,-10.4
GA TECH,SYRACUSE,vs_offense_avg,Kyle Efford,LB,68.0,64.5,71.27,71.27,,,-3.27,-6.77
GA TECH,SYRACUSE,vs_te_rank_1,Kyle Efford,LB,68.0,64.5,71.0,71.0,Dan Villari,40.0,-3.0,-6.5
GA TECH,SYRACUSE,vs_te_rank_2,Kyle Efford,LB,68.0,64.5,74.9,74.9,David Clement,3.0,-6.9,-10.4
GA TECH,SYRACUSE,vs_offense_avg,Melvin Jordan IV,LB,78.1,71.7,71.27,71.27,,,6.83,0.43
GA TECH,SYRACUSE,vs_te_rank_1,Melvin Jordan IV,LB,78.1,71.7,71.0,71.0,Dan Villari,40.0,7.1,0.7
GA TECH,SYRACUSE,vs_te_rank_2,Melvin Jordan IV,LB,78.1,71.7,74.9,74.9,David Clement,3.0,3.2,-3.2
GA TECH,SYRACUSE,vs_offense_avg,E.J. Lightsey,LB,71.8,61.1,71.27,71.27,,,0.53,-10.17
GA TECH,SYRACUSE,vs_te_rank_1,E.J. Lightsey,LB,71.8,61.1,71.0,71.0,Dan Villari,40.0,0.8,-9.9
GA TECH,SYRACUSE,vs_te_rank_2,E.J. Lightsey,LB,71.8,61.1,74.9,74.9,David Clement,3.0,-3.1,-13.8
GA TECH,SYRACUSE,vs_offense_avg,Cayman Spaulding,LB,76.3,51.8,71.27,71.27,,,5.03,-19.47
GA TECH,SYRACUSE,vs_te_rank_1,Cayman Spaulding,LB,76.3,51.8,71.0,71.0,Dan Villari,40.0,5.3,-19.2
GA TECH,SYRACUSE,vs_te_rank_2,Cayman Spaulding,LB,76.3,51.8,74.9,74.9,David Clement,3.0,1.4,-23.1
GA TECH,SYRACUSE,vs_offense_avg,Tah'j Butler,LB,60.1,78.7,71.27,71.27,,,-11.17,7.43
GA TECH,SYRACUSE,vs_te_rank_1,Tah'j Butler,LB,60.1,78.7,71.0,71.0,Dan Villari,40.0,-10.9,7.7
GA TECH,SYRACUSE,vs_te_rank_2,Tah'j Butler,LB,60.1,78.7,74.9,74.9,David Clement,3.0,-14.8,3.8
