gt_team,opponent,type,player,player_position,player_pass_grade,opp_db_grade,opp_db_name,opp_db_snaps,delta
GA TECH,BOSTON COL,vs_defense_avg,Eric Rivers,WR,71.4,63.22,,,8.18
GA TECH,BOSTON COL,vs_db_rank_1,Eric Rivers,WR,71.4,70.1,Isaiah Farris,322.0,1.3
GA TECH,BOSTON COL,vs_db_rank_2,Eric Rivers,WR,71.4,56.1,Max Tucker,264.0,15.3
GA TECH,BOSTON COL,vs_db_rank_3,Eric Rivers,WR,71.4,66.7,TJ Green,133.0,4.7
GA TECH,BOSTON COL,vs_db_rank_4,Eric Rivers,WR,71.4,66.4,Ashton Cunningham,122.0,5.0
GA TECH,BOSTON COL,vs_db_rank_5,Eric Rivers,WR,71.4,57.0,Cameron Martinez,116.0,14.4
GA TECH,BOSTON COL,vs_db_rank_6,Eric Rivers,WR,71.4,60.0,Syair Torrence,98.0,11.4
GA TECH,BOSTON COL,vs_db_rank_7,Eric Rivers,WR,71.4,61.4,Marcelous Townsend,82.0,10.0
GA TECH,BOSTON COL,vs_defense_avg,Isiah Canion,WR,68.6,63.22,,,5.38
GA TECH,BOSTON COL,vs_db_rank_1,Isiah Canion,WR,68.6,70.1,Isaiah Farris,322.0,-1.5
GA TECH,BOSTON COL,vs_db_rank_2,Isiah Canion,WR,68.6,56.1,Max Tucker,264.0,12.5
GA TECH,BOSTON COL,vs_db_rank_3,Isiah Canion,WR,68.6,66.7,TJ Green,133.0,1.9
GA TECH,BOSTON COL,vs_db_rank_4,Isiah Canion,WR,68.6,66.4,Ashton Cunningham,122.0,2.2
GA TECH,BOSTON COL,vs_db_rank_5,Isiah Canion,WR,68.6,57.0,Cameron Martinez,116.0,11.6
GA TECH,BOSTON COL,vs_db_rank_6,Isiah Canion,WR,68.6,60.0,Syair Torrence,98.0,8.6
GA TECH,BOSTON COL,vs_db_rank_7,Isiah Canion,WR,68.6,61.4,Marcelous Townsend,82.0,7.2
GA TECH,BOSTON COL,vs_defense_avg,Malik Rutherford,WR,69.5,63.22,,,6.28
GA TECH,BOSTON COL,vs_db_rank_1,Malik Rutherford,WR,69.5,70.1,Isaiah Farris,322.0,-0.6
GA TECH,BOSTON COL,vs_db_rank_2,Malik Rutherford,WR,69.5,56.1,Max Tucker,264.0,13.4
GA TECH,BOSTON COL,vs_db_rank_3,Malik Rutherford,WR,69.5,66.7,TJ Green,133.0,2.8
GA TECH,BOSTON COL,vs_db_rank_4,Malik Rutherford,WR,69.5,66.4,Ashton Cunningham,122.0,3.1
GA TECH,BOSTON COL,vs_db_rank_5,Malik Rutherford,WR,69.5,57.0,Cameron Martinez,116.0,12.5
GA TECH,BOSTON COL,vs_db_rank_6,Malik Rutherford,WR,69.5,60.0,Syair Torrence,98.0,9.5
GA TECH,BOSTON COL,vs_db_rank_7,Malik Rutherford,WR,69.5,61.4,Marcelous Townsend,82.0,8.1
GA TECH,BOSTON COL,vs_defense_avg,Bailey Stockton,WR,63.8,63.22,,,0.58
GA TECH,BOSTON COL,vs_db_rank_1,Bailey Stockton,WR,63.8,70.1,Isaiah Farris,322.0,-6.3
GA TECH,BOSTON COL,vs_db_rank_2,Bailey Stockton,WR,63.8,56.1,Max Tucker,264.0,7.7
GA TECH,BOSTON COL,vs_db_rank_3,Bailey Stockton,WR,63.8,66.7,TJ Green,133.0,-2.9
GA TECH,BOSTON COL,vs_db_rank_4,Bailey Stockton,WR,63.8,66.4,Ashton Cunningham,122.0,-2.6
GA TECH,BOSTON COL,vs_db_rank_5,Bailey Stockton,WR,63.8,57.0,Cameron Martinez,116.0,6.8
GA TECH,BOSTON COL,vs_db_rank_6,Bailey Stockton,WR,63.8,60.0,Syair Torrence,98.0,3.8
GA TECH,BOSTON COL,vs_db_rank_7,Bailey Stockton,WR,63.8,61.4,Marcelous Townsend,82.0,2.4
GA TECH,NC STATE,vs_defense_avg,Eric Rivers,WR,71.4,72.76,,,-1.36
GA TECH,NC STATE,vs_db_rank_1,Eric Rivers,WR,71.4,69.6,Jamel Johnson,336.0,1.8
GA TECH,NC STATE,vs_db_rank_2,Eric Rivers,WR,71.4,78.8,Devon Marshall,332.0,-7.4
GA TECH,NC STATE,vs_db_rank_3,Eric Rivers,WR,71.4,81.7,Brian Nelson II,286.0,-10.3
GA TECH,NC STATE,vs_db_rank_4,Eric Rivers,WR,71.4,58.8,Jackson Vick,251.0,12.6
GA TECH,NC STATE,vs_defense_avg,Isiah Canion,WR,68.6,72.76,,,-4.16
GA TECH,NC STATE,vs_db_rank_1,Isiah Canion,WR,68.6,69.6,Jamel Johnson,336.0,-1.0
GA TECH,NC STATE,vs_db_rank_2,Isiah Canion,WR,68.6,78.8,Devon Marshall,332.0,-10.2
GA TECH,NC STATE,vs_db_rank_3,Isiah Canion,WR,68.6,81.7,Brian Nelson II,286.0,-13.1
GA TECH,NC STATE,vs_db_rank_4,Isiah Canion,WR,68.6,58.8,Jackson Vick,251.0,9.8
GA TECH,NC STATE,vs_defense_avg,Malik Rutherford,WR,69.5,72.76,,,-3.26
GA TECH,NC STATE,vs_db_rank_1,Malik Rutherford,WR,69.5,69.6,Jamel Johnson,336.0,-0.1
GA TECH,NC STATE,vs_db_rank_2,Malik Rutherford,WR,69.5,78.8,Devon Marshall,332.0,-9.3
GA TECH,NC STATE,vs_db_rank_3,Malik Rutherford,WR,69.5,81.7,Brian Nelson II,286.0,-12.2
GA TECH,NC STATE,vs_db_rank_4,Malik Rutherford,WR,69.5,58.8,Jackson Vick,251.0,10.7
GA TECH,NC STATE,vs_defense_avg,Bailey Stockton,WR,63.8,72.76,,,-8.96
GA TECH,NC STATE,vs_db_rank_1,Bailey Stockton,WR,63.8,69.6,Jamel Johnson,336.0,-5.8
GA TECH,NC STATE,vs_db_rank_2,Bailey Stockton,WR,63.8,78.8,Devon Marshall,332.0,-15.0
GA TECH,NC STATE,vs_db_rank_3,Bailey Stockton,WR,63.8,81.7,Brian Nelson II,286.0,-17.9
GA TECH,NC STATE,vs_db_rank_4,Bailey Stockton,WR,63.8,58.8,Jackson Vick,251.0,5.0
GA TECH,GEORGIA,vs_defense_avg,Eric Rivers,WR,71.4,62.76,,,8.64
GA TECH,GEORGIA,vs_db_rank_1,Eric Rivers,WR,71.4,63.2,Daylen Everette,356.0,8.2
GA TECH,GEORGIA,vs_db_rank_2,Eric Rivers,WR,71.4,61.2,Ellis Robinson IV,242.0,10.2
GA TECH,GEORGIA,vs_db_rank_3,Eric Rivers,WR,71.4,70.6,Demello Jones,196.0,0.8
GA TECH,GEORGIA,vs_db_rank_4,Eric Rivers,WR,71.4,49.9,Daniel Harris,102.0,21.5
GA TECH,GEORGIA,vs_defense_avg,Isiah Canion,WR,68.6,62.76,,,5.84
GA TECH,GEORGIA,vs_db_rank_1,Isiah Canion,WR,68.6,63.2,Daylen Everette,356.0,5.4
GA TECH,GEORGIA,vs_db_rank_2,Isiah Canion,WR,68.6,61.2,Ellis Robinson IV,242.0,7.4
GA TECH,GEORGIA,vs_db_rank_3,Isiah Canion,WR,68.6,70.6,Demello Jones,196.0,-2.0
GA TECH,GEORGIA,vs_db_rank_4,Isiah Canion,WR,68.6,49.9,Daniel Harris,102.0,18.7
GA TECH,GEORGIA,vs_defense_avg,Malik Rutherford,WR,69.5,62.76,,,6.74
GA TECH,GEORGIA,vs_db_rank_1,Malik Rutherford,WR,69.5,63.2,Daylen Everette,356.0,6.3
GA TECH,GEORGIA,vs_db_rank_2,Malik Rutherford,WR,69.5,61.2,Ellis Robinson IV,242.0,8.3
GA TECH,GEORGIA,vs_db_rank_3,Malik Rutherford,WR,69.5,70.6,Demello Jones,196.0,-1.1
GA TECH,GEORGIA,vs_db_rank_4,Malik Rutherford,WR,69.5,49.9,Daniel Harris,102.0,19.6
GA TECH,GEORGIA,vs_defense_avg,Bailey Stockton,WR,63.8,62.76,,,1.04
GA TECH,GEORGIA,vs_db_rank_1,Bailey Stockton,WR,63.8,63.2,Daylen Everette,356.0,0.6
GA TECH,GEORGIA,vs_db_rank_2,Bailey Stockton,WR,63.8,61.2,Ellis Robinson IV,242.0,2.6
GA TECH,GEORGIA,vs_db_rank_3,Bailey Stockton,WR,63.8,70.6,Demello Jones,196.0,-6.8
GA TECH,GEORGIA,vs_db_rank_4,Bailey Stockton,WR,63.8,49.9,Daniel Harris,102.0,13.9
GA TECH,PITTSBURGH,vs_defense_avg,Eric Rivers,WR,71.4,66.42,,,4.98
GA TECH,PITTSBURGH,vs_db_rank_1,Eric Rivers,WR,71.4,77.1,Shawn Lee Jr.,299.0,-5.7
GA TECH,PITTSBURGH,vs_db_rank_2,Eric Rivers,WR,71.4,50.2,Shadarian Harrison,296.0,21.2
GA TECH,PITTSBURGH,vs_db_rank_3,Eric Rivers,WR,71.4,69.7,Rashad Battle,233.0,1.7
GA TECH,PITTSBURGH,vs_db_rank_4,Eric Rivers,WR,71.4,76.0,Tamon Lynum,88.0,-4.6
GA TECH,PITTSBURGH,vs_defense_avg,Isiah Canion,WR,68.6,66.42,,,2.18
GA TECH,PITTSBURGH,vs_db_rank_1,Isiah Canion,WR,68.6,77.1,Shawn Lee Jr.,299.0,-8.5
GA TECH,PITTSBURGH,vs_db_rank_2,Isiah Canion,WR,68.6,50.2,Shadarian Harrison,296.0,18.4
GA TECH,PITTSBURGH,vs_db_rank_3,Isiah Canion,WR,68.6,69.7,Rashad Battle,233.0,-1.1
GA TECH,PITTSBURGH,vs_db_rank_4,Isiah Canion,WR,68.6,76.0,Tamon Lynum,88.0,-7.4
GA TECH,PITTSBURGH,vs_defense_avg,Malik Rutherford,WR,69.5,66.42,,,3.08
GA TECH,PITTSBURGH,vs_db_rank_1,Malik Rutherford,WR,69.5,77.1,Shawn Lee Jr.,299.0,-7.6
GA TECH,PITTSBURGH,vs_db_rank_2,Malik Rutherford,WR,69.5,50.2,Shadarian Harrison,296.0,19.3
GA TECH,PITTSBURGH,vs_db_rank_3,Malik Rutherford,WR,69.5,69.7,Rashad Battle,233.0,-0.2
GA TECH,PITTSBURGH,vs_db_rank_4,Malik Rutherford,WR,69.5,76.0,Tamon Lynum,88.0,-6.5
GA TECH,PITTSBURGH,vs_defense_avg,Bailey Stockton,WR,63.8,66.42,,,-2.62
GA TECH,PITTSBURGH,vs_db_rank_1,Bailey Stockton,WR,63.8,77.1,Shawn Lee Jr.,299.0,-13.3
GA TECH,PITTSBURGH,vs_db_rank_2,Bailey Stockton,WR,63.8,50.2,Shadarian Harrison,296.0,13.6
GA TECH,PITTSBURGH,vs_db_rank_3,Bailey Stockton,WR,63.8,69.7,Rashad Battle,233.0,-5.9
GA TECH,PITTSBURGH,vs_db_rank_4,Bailey Stockton,WR,63.8,76.0,Tamon Lynum,88.0,-12.2
GA TECH,SYRACUSE,vs_defense_avg,Eric Rivers,WR,71.4,70.07,,,1.33
GA TECH,SYRACUSE,vs_db_rank_1,Eric Rivers,WR,71.4,73.6,Demetres Samuel Jr.,442.0,-2.2
GA TECH,SYRACUSE,vs_db_rank_2,Eric Rivers,WR,71.4,78.7,Chris Peal,420.0,-7.3
GA TECH,SYRACUSE,vs_db_rank_3,Eric Rivers,WR,71.4,60.5,Davien Kerr,199.0,10.9
GA TECH,SYRACUSE,vs_db_rank_4,Eric Rivers,WR,71.4,47.7,Greg Delaine,93.0,23.7
GA TECH,SYRACUSE,vs_db_rank_5,Eric Rivers,WR,71.4,54.7,Ibn McDaniels,78.0,16.7
GA TECH,SYRACUSE,vs_defense_avg,Isiah Canion,WR,68.6,70.07,,,-1.47
GA TECH,SYRACUSE,vs_db_rank_1,Isiah Canion,WR,68.6,73.6,Demetres Samuel Jr.,442.0,-5.0
GA TECH,SYRACUSE,vs_db_rank_2,Isiah Canion,WR,68.6,78.7,Chris Peal,420.0,-10.1
GA TECH,SYRACUSE,vs_db_rank_3,Isiah Canion,WR,68.6,60.5,Davien Kerr,199.0,8.1
GA TECH,SYRACUSE,vs_db_rank_4,Isiah Canion,WR,68.6,47.7,Greg Delaine,93.0,20.9
GA TECH,SYRACUSE,vs_db_rank_5,Isiah Canion,WR,68.6,54.7,Ibn McDaniels,78.0,13.9
GA TECH,SYRACUSE,vs_defense_avg,Malik Rutherford,WR,69.5,70.07,,,-0.57
GA TECH,SYRACUSE,vs_db_rank_1,Malik Rutherford,WR,69.5,73.6,Demetres Samuel Jr.,442.0,-4.1
GA TECH,SYRACUSE,vs_db_rank_2,Malik Rutherford,WR,69.5,78.7,Chris Peal,420.0,-9.2
GA TECH,SYRACUSE,vs_db_rank_3,Malik Rutherford,WR,69.5,60.5,Davien Kerr,199.0,9.0
GA TECH,SYRACUSE,vs_db_rank_4,Malik Rutherford,WR,69.5,47.7,Greg Delaine,93.0,21.8
GA TECH,SYRACUSE,vs_db_rank_5,Malik Rutherford,WR,69.5,54.7,Ibn McDaniels,78.0,14.8
GA TECH,SYRACUSE,vs_defense_avg,Bailey Stockton,WR,63.8,70.07,,,-6.27
GA TECH,SYRACUSE,vs_db_rank_1,Bailey Stockton,WR,63.8,73.6,Demetres Samuel Jr.,442.0,-9.8
GA TECH,SYRACUSE,vs_db_rank_2,Bailey Stockton,WR,63.8,78.7,Chris Peal,420.0,-14.9
GA TECH,SYRACUSE,vs_db_rank_3,Bailey Stockton,WR,63.8,60.5,Davien Kerr,199.0,3.3
GA TECH,SYRACUSE,vs_db_rank_4,Bailey Stockton,WR,63.8,47.7,Greg Delaine,93.0,16.1
GA TECH,SYRACUSE,vs_db_rank_5,Bailey Stockton,WR,63.8,54.7,Ibn McDaniels,78.0,9.1
